Название кампании	Название группы	Фраза (с минус-словами)	Заголовок	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Регионы показа	Минус-фразы на группу	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения
SS | Поиск | Бренд	Бренд SmartSay	smartsay	SmartSay — языковая школа в Петергофе	Запись на пробный урок	Английский, китайский, испанский, немецкий. Очно в Петергофе и онлайн.	https://smartsay.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	smartsay	Россия		Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		смартсэй	SmartSay: официальный сайт школы	Официальный сайт	Расписание, цены, преподаватели и запись на бесплатный пробный урок.	https://smartsay.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	smartsay			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		smart say	Языковая школа SmartSay	Запись на пробный урок	Петергоф, Чичеринская 2. Телефон +7 921 642-79-28.	https://smartsay.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	smartsay			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		смарт сэй											
		smartsay ru											
		смартсэй петергоф											
		smartsay языковая школа											
		смартсэй отзывы											
		языковая школа смартсэй											
SS | Ретаргетинг | Были на сайте без заявки	Догоняем посетителей /courses		Вы смотрели курсы SmartSay	Запишитесь за 1 минуту	Оставьте заявку — перезвоним, определим уровень и подберём расписание.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	probnyy-urok	Россия		Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
			Первый урок в группе — бесплатно	Группы до 6 человек	Абонемент от 6 200 ₽/мес, индивидуально — 2 000 ₽ за занятие.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	probnyy-urok			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
			Определим уровень и подберём группу	Запишитесь за 1 минуту	Очно в Петергофе или онлайн. Первый урок в группе — бесплатно.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	probnyy-urok			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
SS | Поиск | Экзамены | СПб	IELTS, TOEFL, Cambridge	подготовка к ielts	Подготовка к IELTS в Санкт-Петербурге	Диагностика бесплатно	Стартуем с пробного теста: узнаете текущий балл и план до цели.	https://smartsay.ru/courses?language=english&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	ielts	Санкт-Петербург, Ленинградская область		Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы ielts	IELTS и TOEFL: подготовка до нужного балла	Очно и онлайн	Разбираем все модули: Listening, Reading, Writing, Speaking.	https://smartsay.ru/courses?language=english&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	ielts			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		ielts спб	Cambridge exams: подготовка в СПб	Диагностика бесплатно	В мини-группе или индивидуально — 2 000 ₽ за занятие. Очно и онлайн.	https://smartsay.ru/courses?language=english&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	ielts			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		подготовка к ielts спб											
		подготовка к toefl											
		курсы toefl											
		cambridge exams подготовка											
		подготовка к кембриджскому экзамену											
		международный экзамен по английскому подготовка											
SS | Поиск | Экзамены | СПб	HSK | китайский	подготовка к hsk	Подготовка к HSK в Санкт-Петербурге	Диагностика бесплатно	Иероглифы, тоны, аудирование — системно до нужного уровня HSK.	https://smartsay.ru/courses?language=chinese&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	hsk	Санкт-Петербург, Ленинградская область		Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы hsk	HSK 1–6: подготовка с преподавателем	Очно и онлайн	Преподаватели с опытом. Мини-группы до 6 человек или индивидуально.	https://smartsay.ru/courses?language=chinese&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	hsk			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		hsk спб	Курсы китайского с подготовкой к HSK	Диагностика бесплатно	Первый урок в группе бесплатно. Очно в Петергофе или онлайн.	https://smartsay.ru/courses?language=chinese&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	hsk			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		hsk 4 подготовка											
		экзамен hsk подготовка											
		китайский подготовка к экзамену											
SS | Поиск | Экзамены | СПб	DELE, Goethe, TestDaF	подготовка к dele	Подготовка к DELE и Goethe-Zertifikat	Диагностика бесплатно	Готовим системно: структура экзамена, критерии, пробные работы.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	dele-goethe	Санкт-Петербург, Ленинградская область		Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы dele	Немецкий: подготовка к Goethe и TestDaF	Очно и онлайн	Мини-группы до 6 человек или индивидуально — 2 000 ₽ за занятие.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	dele-goethe			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		подготовка к goethe zertifikat	Испанский: подготовка к DELE	Диагностика бесплатно	Очно в Петергофе или онлайн по Zoom. Первый урок — бесплатно.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	dele-goethe			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		goethe экзамен подготовка											
		подготовка к testdaf											
		экзамен по немецкому подготовка											
		экзамен по испанскому подготовка											
SS | Поиск | Онлайн-школа | РФ	Английский онлайн	английский онлайн	Английский онлайн с преподавателем	Первый урок бесплатно	Живые уроки по Zoom, записи в личном кабинете, домашки с проверкой.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	angliyskiy-onlayn	Россия	бесплатно, детям, ребенку	Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы английского онлайн	Онлайн-курсы английского языка	Записи уроков в кабинете	Абонемент от 6 200 ₽/мес или индивидуально 2 000 ₽ за занятие.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	angliyskiy-onlayn			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		онлайн школа английского языка	Английский по Zoom: записи всех уроков	Первый урок бесплатно	Гибкое расписание: занимайтесь из любой точки мира. Пробный — 0 ₽.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	angliyskiy-onlayn			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		изучение английского онлайн											
		английский онлайн с преподавателем											
		разговорный английский онлайн											
		английский по zoom											
		индивидуальные занятия английским онлайн											
		английский онлайн с нуля											
SS | Поиск | Онлайн-школа | РФ	Китайский онлайн	китайский онлайн	Китайский онлайн с преподавателем	Первый урок бесплатно	Живые уроки по Zoom, записи в кабинете, домашние задания с проверкой.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kitayskiy-onlayn	Россия	бесплатно	Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы китайского онлайн	Онлайн-курсы китайского языка	Записи уроков в кабинете	Разберём иероглифы и поставим тоны даже при старте с нуля.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kitayskiy-onlayn			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
